from_metric,to_metric,relationship,declared_on,to_exists
student_proficiency,school_culture_score,parent_of,student_proficiency,True
student_proficiency,stg_student_assessment_row,parent_of,student_proficiency,True
student_proficiency,student_growth_percentile,parent_of,student_proficiency,True
student_proficiency,teacher_retention_rate,parent_of,student_proficiency,True
student_proficiency,graduation_rate,correlated_with,student_proficiency,True
student_proficiency,college_enrollment,correlated_with,student_proficiency,True
student_proficiency,absenteeism_by_subgroup,correlated_with,student_proficiency,True
student_proficiency,advanced_course_enrollment_rate,correlated_with,student_proficiency,True
student_proficiency,attendance_rate,correlated_with,student_proficiency,True
student_proficiency,average_daily_attendance,correlated_with,student_proficiency,True
student_proficiency,chronic_absenteeism,correlated_with,student_proficiency,True
student_proficiency,cost_per_outcome,correlated_with,student_proficiency,True
student_proficiency,ell_proficiency_growth,correlated_with,student_proficiency,True
student_proficiency,iep_goal_mastery_rate,correlated_with,student_proficiency,True
student_proficiency,student_growth_percentile,correlated_with,student_proficiency,True
student_proficiency,teacher_retention_rate,correlated_with,student_proficiency,True
student_proficiency,teacher_student_ratio,correlated_with,student_proficiency,True
college_enrollment_rate,fafsa_completion_rate,parent_of,college_enrollment_rate,True
college_enrollment_rate,ap_participation_rate,parent_of,college_enrollment_rate,True
college_enrollment_rate,ap_pass_rate,parent_of,college_enrollment_rate,True
college_enrollment_rate,college_enrollment,parent_of,college_enrollment_rate,True
college_enrollment_rate,four_year_grad_rate,correlated_with,college_enrollment_rate,True
college_enrollment_rate,ap_pass_rate,correlated_with,college_enrollment_rate,True
college_enrollment_rate,ap_participation_rate,correlated_with,college_enrollment_rate,True
cost_per_outcome,per_pupil_expenditure,parent_of,cost_per_outcome,True
cost_per_outcome,per_pupil_expenditure,correlated_with,cost_per_outcome,True
cost_per_outcome,student_proficiency,correlated_with,cost_per_outcome,True
student_proficiency,cost_per_outcome,formula_input,cost_per_outcome,True
ebitda,gross_profit,parent_of,ebitda,True
ebitda,opex,parent_of,ebitda,True
ebitda,da,parent_of,ebitda,True
ebitda,bad_debt_rate,parent_of,ebitda,True
ebitda,cogs,parent_of,ebitda,True
ebitda,ebit,parent_of,ebitda,True
ebitda,ebitda_bridge_price,parent_of,ebitda,True
ebitda,ebitda_bridge_volume,parent_of,ebitda,True
ebitda,ebitda_margin,parent_of,ebitda,True
ebitda,forecast_accuracy,parent_of,ebitda,True
ebitda,gross_margin,parent_of,ebitda,True
ebitda,gross_margin_pct,parent_of,ebitda,True
ebitda,revenue,parent_of,ebitda,True
ebitda,revenue_per_employee,parent_of,ebitda,True
ebitda,ebitda_margin,correlated_with,ebitda,True
ebitda,free_cash_flow,correlated_with,ebitda,True
ebitda,net_income,correlated_with,ebitda,True
ebitda,capex,correlated_with,ebitda,True
ebitda,effective_tax_rate,correlated_with,ebitda,True
ebitda,enterprise_value,correlated_with,ebitda,True
ebitda,net_revenue_retention,correlated_with,ebitda,True
ebitda,operating_cash_flow,correlated_with,ebitda,True
ebitda,return_on_equity,correlated_with,ebitda,True
ebitda,total_revenue,correlated_with,ebitda,True
enterprise_value,net_debt,parent_of,enterprise_value,True
enterprise_value,customer_concentration_risk,parent_of,enterprise_value,True
enterprise_value,ev_ebitda,parent_of,enterprise_value,True
enterprise_value,roic,parent_of,enterprise_value,True
enterprise_value,ev_ebitda,correlated_with,enterprise_value,True
enterprise_value,rule_of_40,correlated_with,enterprise_value,True
enterprise_value,ebitda,correlated_with,enterprise_value,True
free_cash_flow,operating_cash_flow,parent_of,free_cash_flow,True
free_cash_flow,capex,parent_of,free_cash_flow,True
free_cash_flow,capex_pct_revenue,parent_of,free_cash_flow,True
free_cash_flow,runway_months,parent_of,free_cash_flow,True
free_cash_flow,working_capital,parent_of,free_cash_flow,True
free_cash_flow,burn_rate,correlated_with,free_cash_flow,True
free_cash_flow,ebitda,correlated_with,free_cash_flow,True
free_cash_flow,net_income,correlated_with,free_cash_flow,True
free_cash_flow,billings,correlated_with,free_cash_flow,True
free_cash_flow,capex_pct_revenue,correlated_with,free_cash_flow,True
free_cash_flow,da,correlated_with,free_cash_flow,True
free_cash_flow,debt_ebitda,correlated_with,free_cash_flow,True
free_cash_flow,effective_tax_rate,correlated_with,free_cash_flow,True
free_cash_flow,interest_coverage_ratio,correlated_with,free_cash_flow,True
free_cash_flow,operating_cash_flow,correlated_with,free_cash_flow,True
free_cash_flow,runway_months,correlated_with,free_cash_flow,True
free_cash_flow,working_capital,correlated_with,free_cash_flow,True
marketing_roi,stg_ad_spend,parent_of,marketing_roi,True
marketing_roi,ltv_cac,parent_of,marketing_roi,True
marketing_roi,marketing_influenced_pipeline,parent_of,marketing_roi,True
marketing_roi,organic_attribution_pct,parent_of,marketing_roi,True
marketing_roi,paid_attribution_pct,parent_of,marketing_roi,True
marketing_roi,referral_attribution_pct,parent_of,marketing_roi,True
marketing_roi,roas,parent_of,marketing_roi,True
marketing_roi,share_of_voice,parent_of,marketing_roi,True
marketing_roi,roas,correlated_with,marketing_roi,True
marketing_roi,marketing_cac,correlated_with,marketing_roi,True
pipeline_generated,marketing_roi,formula_input,marketing_roi,True
ops_efficiency_ratio,opex,parent_of,ops_efficiency_ratio,True
ops_efficiency_ratio,budget_variance_pct,parent_of,ops_efficiency_ratio,True
ops_efficiency_ratio,carbon_emissions_per_unit,parent_of,ops_efficiency_ratio,True
ops_efficiency_ratio,cost_per_mile,parent_of,ops_efficiency_ratio,True
ops_efficiency_ratio,support_cost_per_ticket,parent_of,ops_efficiency_ratio,True
ops_efficiency_ratio,warehouse_utilization_rate,parent_of,ops_efficiency_ratio,True
ops_efficiency_ratio,gross_margin_pct,correlated_with,ops_efficiency_ratio,True
ops_efficiency_ratio,throughput,correlated_with,ops_efficiency_ratio,True
total_revenue,ops_efficiency_ratio,formula_input,ops_efficiency_ratio,True
ops_north_star,on_time_delivery_rate,parent_of,ops_north_star,True
ops_north_star,fill_rate,parent_of,ops_north_star,True
ops_north_star,order_accuracy_rate,parent_of,ops_north_star,True
ops_north_star,capacity_utilization,parent_of,ops_north_star,True
ops_north_star,capacity_utilization_rate,parent_of,ops_north_star,True
ops_north_star,defect_rate,parent_of,ops_north_star,True
ops_north_star,order_fulfillment_rate,parent_of,ops_north_star,True
ops_north_star,return_rate,parent_of,ops_north_star,True
ops_north_star,sla_compliance_rate,parent_of,ops_north_star,True
ops_north_star,system_uptime,parent_of,ops_north_star,True
ops_north_star,vendor_scorecard_rating,parent_of,ops_north_star,True
ops_north_star,csat,correlated_with,ops_north_star,True
pipeline_generated,sql,parent_of,pipeline_generated,True
pipeline_generated,avg_deal_size,parent_of,pipeline_generated,True
pipeline_generated,mql,parent_of,pipeline_generated,True
pipeline_generated,bookings,correlated_with,pipeline_generated,True
pipeline_generated,mql,correlated_with,pipeline_generated,True
pipeline_generated,pipeline_coverage,correlated_with,pipeline_generated,True
pipeline_generated,stg_opportunities_count,correlated_with,pipeline_generated,True
return_on_equity,debt_to_equity,parent_of,return_on_equity,True
return_on_equity,interest_coverage,parent_of,return_on_equity,True
return_on_equity,leverage_ratio,parent_of,return_on_equity,True
return_on_equity,net_income,parent_of,return_on_equity,True
return_on_equity,net_income_margin,parent_of,return_on_equity,True
return_on_equity,net_margin,parent_of,return_on_equity,True
return_on_equity,return_on_assets,parent_of,return_on_equity,True
return_on_equity,roa,parent_of,return_on_equity,True
return_on_equity,roe,parent_of,return_on_equity,True
return_on_equity,return_on_assets,correlated_with,return_on_equity,True
return_on_equity,debt_ebitda,correlated_with,return_on_equity,True
return_on_equity,ebitda,correlated_with,return_on_equity,True
rule_of_40,ebitda_margin,parent_of,rule_of_40,True
rule_of_40,revenue_growth_rate,parent_of,rule_of_40,True
rule_of_40,arr_growth_rate,parent_of,rule_of_40,True
rule_of_40,magic_number,parent_of,rule_of_40,True
rule_of_40,nrr,parent_of,rule_of_40,True
rule_of_40,arr,correlated_with,rule_of_40,True
rule_of_40,net_revenue_retention,correlated_with,rule_of_40,True
rule_of_40,enterprise_value,correlated_with,rule_of_40,True
rule_of_40,saas_quick_ratio,correlated_with,rule_of_40,True
employee_lifetime_value,headcount_cost,parent_of,employee_lifetime_value,True
employee_lifetime_value,revenue_per_employee,parent_of,employee_lifetime_value,True
employee_lifetime_value,avg_tenure,parent_of,employee_lifetime_value,True
employee_lifetime_value,gross_profit_per_employee,parent_of,employee_lifetime_value,True
employee_lifetime_value,workforce_productivity,parent_of,employee_lifetime_value,True
employee_lifetime_value,employee_attrition_rate,correlated_with,employee_lifetime_value,True
employee_lifetime_value,employee_engagement_score,correlated_with,employee_lifetime_value,True
headcount,stg_employees_count,parent_of,headcount,True
headcount,headcount_by_dept,parent_of,headcount,True
headcount,diversity_hire_rate,parent_of,headcount,True
headcount,headcount_vs_budget,parent_of,headcount,True
headcount,new_hires,parent_of,headcount,True
headcount,turnover_rate,correlated_with,headcount,True
headcount,headcount_vs_budget,correlated_with,headcount,True
headcount,headcount_by_dept,correlated_with,headcount,True
headcount,stg_employees_count,correlated_with,headcount,True
headcount,stg_payroll_total,correlated_with,headcount,True
headcount,total_comp_expense,correlated_with,headcount,True
turnover_rate,separations,parent_of,turnover_rate,True
turnover_rate,employee_attrition_rate,parent_of,turnover_rate,True
turnover_rate,regrettable_attrition,parent_of,turnover_rate,True
turnover_rate,voluntary_turnover,parent_of,turnover_rate,True
turnover_rate,voluntary_turnover,correlated_with,turnover_rate,True
turnover_rate,regrettable_attrition,correlated_with,turnover_rate,True
turnover_rate,engagement_score,correlated_with,turnover_rate,True
turnover_rate,absenteeism_rate,correlated_with,turnover_rate,True
turnover_rate,headcount,correlated_with,turnover_rate,True
turnover_rate,stg_employees_count,correlated_with,turnover_rate,True
headcount,turnover_rate,formula_input,turnover_rate,True
four_year_grad_rate,student_attendance_rate,parent_of,four_year_grad_rate,True
four_year_grad_rate,dropout_rate,parent_of,four_year_grad_rate,True
four_year_grad_rate,college_enrollment_rate,correlated_with,four_year_grad_rate,True
four_year_grad_rate,dropout_rate,correlated_with,four_year_grad_rate,True
four_year_grad_rate,district_proficiency_rate,correlated_with,four_year_grad_rate,True
pipeline_generated,mql,parent_of,mql,True
sql,mql,parent_of,mql,True
mql,stg_leads_count,parent_of,mql,True
mql,form_conversion_rate,parent_of,mql,True
mql,demo_requests,parent_of,mql,True
mql,event_attendees,parent_of,mql,True
mql,lead_to_mql_rate,parent_of,mql,True
mql,session_to_lead_rate,parent_of,mql,True
mql,webinar_attendance_rate,parent_of,mql,True
mql,sql,correlated_with,mql,True
mql,lead_to_mql_rate,correlated_with,mql,True
mql,demo_requests,correlated_with,mql,True
mql,event_attendees,correlated_with,mql,True
mql,pipeline_generated,correlated_with,mql,True
mql,stg_leads_count,correlated_with,mql,True
mql,webinar_registrants,correlated_with,mql,True
otd_rate,stg_orders_count,parent_of,otd_rate,True
otd_rate,cycle_time,parent_of,otd_rate,True
otd_rate,lead_time,parent_of,otd_rate,True
otd_rate,order_fulfillment_rate,correlated_with,otd_rate,True
otd_rate,cycle_time,correlated_with,otd_rate,True
otd_rate,inventory_turnover,correlated_with,otd_rate,True
otd_rate,lead_time,correlated_with,otd_rate,True
total_revenue,net_revenue,parent_of,total_revenue,True
total_revenue,gross_revenue,parent_of,total_revenue,True
total_revenue,services_revenue,parent_of,total_revenue,True
total_revenue,license_revenue,parent_of,total_revenue,True
total_revenue,subscription_revenue,parent_of,total_revenue,True
total_revenue,implementation_revenue,parent_of,total_revenue,True
total_revenue,partner_revenue,parent_of,total_revenue,True
total_revenue,partner_revenue_pct,parent_of,total_revenue,True
total_revenue,rev_from_existing,parent_of,total_revenue,True
total_revenue,rev_from_new_customers,parent_of,total_revenue,True
total_revenue,revenue_by_channel,parent_of,total_revenue,True
total_revenue,revenue_by_product,parent_of,total_revenue,True
total_revenue,revenue_by_region,parent_of,total_revenue,True
total_revenue,revenue_ytd,parent_of,total_revenue,True
total_revenue,revenue_growth_rate,correlated_with,total_revenue,True
total_revenue,revenue_vs_py,correlated_with,total_revenue,True
total_revenue,arr,correlated_with,total_revenue,True
total_revenue,ebitda,correlated_with,total_revenue,True
total_revenue,prior_year_revenue,correlated_with,total_revenue,True
total_revenue,q1_revenue,correlated_with,total_revenue,True
total_revenue,q4_revenue,correlated_with,total_revenue,True
total_revenue,revenue_by_channel,correlated_with,total_revenue,True
total_revenue,revenue_by_product,correlated_with,total_revenue,True
total_revenue,revenue_by_region,correlated_with,total_revenue,True
total_revenue,stg_orders_count,correlated_with,total_revenue,True
cx_csat,stg_csat_response_row,parent_of,cx_csat,True
cx_csat,complaint_resolution_rate,parent_of,cx_csat,True
cx_csat,complaints_count,parent_of,cx_csat,True
cx_csat,nps,correlated_with,cx_csat,True
cx_csat,ces,correlated_with,cx_csat,True
cx_csat,csat,correlated_with,cx_csat,True
nps,stg_nps_response_row,parent_of,nps,True
nps,app_store_rating,parent_of,nps,True
nps,feature_request_volume,parent_of,nps,True
nps,review_rating,parent_of,nps,True
nps,survey_response_rate,parent_of,nps,True
nps,testimonials_count,parent_of,nps,True
nps,customer_health_score,correlated_with,nps,True
nps,churn_rate,correlated_with,nps,True
nps,app_store_rating,correlated_with,nps,True
nps,ces,correlated_with,nps,True
nps,csat,correlated_with,nps,True
nps,cx_csat,correlated_with,nps,True
nps,enps,correlated_with,nps,True
nps,feature_adoption_rate,correlated_with,nps,True
nps,feature_request_volume,correlated_with,nps,True
nps,review_rating,correlated_with,nps,True
nps,survey_response_rate,correlated_with,nps,True
nps,testimonials_count,correlated_with,nps,True
at_risk_accounts,account_health_score,parent_of,account_health_score,True
account_health_score,dau,parent_of,account_health_score,True
account_health_score,renewal_rate,parent_of,account_health_score,True
account_health_score,at_risk_accounts,correlated_with,account_health_score,True
account_health_score,nrr,correlated_with,account_health_score,True
account_health_score,qbr_completion_rate,correlated_with,account_health_score,True
nps,account_health_score,formula_input,account_health_score,True
clv,aov,parent_of,aov,True
cohort_ltv_12m,aov,parent_of,aov,True
aov,stg_purchases_count,parent_of,aov,True
aov,stg_order_amount_sum,parent_of,aov,True
aov,purchase_frequency,correlated_with,aov,True
aov,clv,correlated_with,aov,True
aov,cross_sell_rate,correlated_with,aov,True
aov,discount_rate,correlated_with,aov,True
aov,iap_revenue,correlated_with,aov,True
aov,marketplace_buyers,correlated_with,aov,True
aov,stg_order_amount_sum,correlated_with,aov,True
aov,stg_orders_count,correlated_with,aov,True
aov,stg_products_active,correlated_with,aov,True
aov,stg_purchases_count,correlated_with,aov,True
ltv_cac,cac,parent_of,cac,True
cac_payback,cac,parent_of,cac,True
payback_period,cac,parent_of,cac,True
payback_ratio,cac,parent_of,cac,True
cac,marketing_cac,parent_of,cac,True
cac,monthly_new_customers,parent_of,cac,True
cac,cost_per_mql,parent_of,cac,True
cac,cost_per_sql,parent_of,cac,True
cac,customers_by_channel,parent_of,cac,True
cac,marketing_spend,parent_of,cac,True
cac,mql_count,parent_of,cac,True
cac,sales_spend,parent_of,cac,True
cac,cac_payback,correlated_with,cac,True
cac,magic_number,correlated_with,cac,True
cac,ltv_cac,correlated_with,cac,True
cac,arr_per_rep,correlated_with,cac,True
cac,clv,correlated_with,cac,True
cac,cost_per_sql,correlated_with,cac,True
cac,customers_by_channel,correlated_with,cac,True
cac,marketing_cac,correlated_with,cac,True
cac,monthly_new_customers,correlated_with,cac,True
cac,mql_to_sql_rate,correlated_with,cac,True
cac,net_new_customers,correlated_with,cac,True
cac,rev_from_new_customers,correlated_with,cac,True
cac,revenue_by_channel,correlated_with,cac,True
cac,roas,correlated_with,cac,True
cac,sales_cycle_length,correlated_with,cac,True
cac,sales_spend,correlated_with,cac,True
cac,sm_spend,correlated_with,cac,True
cac,time_to_fill,correlated_with,cac,True
cac,win_rate,correlated_with,cac,True
ltv_cac,cac_payback,parent_of,cac_payback,True
cac_payback,cac,parent_of,cac_payback,True
cac_payback,gross_margin_pct,parent_of,cac_payback,True
cac_payback,arpu,parent_of,cac_payback,True
cac_payback,sm_spend,parent_of,cac_payback,True
cac_payback,magic_number,correlated_with,cac_payback,True
cac_payback,ltv_cac,correlated_with,cac_payback,True
cac_payback,avg_sales_cycle,correlated_with,cac_payback,True
cac_payback,cac,correlated_with,cac_payback,True
cac_payback,payback_ratio,correlated_with,cac_payback,True
customer_health_score,ces,parent_of,ces,True
ces,csat,correlated_with,ces,True
ces,nps,correlated_with,ces,True
ces,cx_csat,correlated_with,ces,True
ces,first_response_time,correlated_with,ces,True
ces,ticket_resolution_rate,correlated_with,ces,True
clv,cohort_ltv_12m,parent_of,cohort_ltv_12m,True
cohort_ltv_24m,cohort_ltv_12m,parent_of,cohort_ltv_12m,True
cohort_ltv_12m,aov,parent_of,cohort_ltv_12m,True
cohort_ltv_12m,purchase_frequency,parent_of,cohort_ltv_12m,True
cohort_ltv_12m,cohort_ltv_24m,correlated_with,cohort_ltv_12m,True
cohort_ltv_12m,d30_retention,correlated_with,cohort_ltv_12m,True
cohort_ltv_12m,clv,correlated_with,cohort_ltv_12m,True
clv,cohort_ltv_24m,parent_of,cohort_ltv_24m,True
cohort_ltv_24m,cohort_ltv_12m,parent_of,cohort_ltv_24m,True
cohort_ltv_24m,cohort_ltv_12m,correlated_with,cohort_ltv_24m,True
cohort_ltv_24m,nrr,correlated_with,cohort_ltv_24m,True
churn_rate,customer_health_score,parent_of,customer_health_score,True
customer_health_score,ces,parent_of,customer_health_score,True
customer_health_score,churn_prediction_score,parent_of,customer_health_score,True
customer_health_score,csat,parent_of,customer_health_score,True
customer_health_score,customer_onboarding_time,parent_of,customer_health_score,True
customer_health_score,dau_mau_ratio,parent_of,customer_health_score,True
customer_health_score,feature_adoption_rate,parent_of,customer_health_score,True
customer_health_score,net_revenue_retention,correlated_with,customer_health_score,True
customer_health_score,arpu,correlated_with,customer_health_score,True
customer_health_score,churn_prediction_score,correlated_with,customer_health_score,True
customer_health_score,churn_rate,correlated_with,customer_health_score,True
customer_health_score,logo_churn_rate,correlated_with,customer_health_score,True
customer_health_score,nps,correlated_with,customer_health_score,True
customer_health_score,customer_onboarding_time,parent_of,customer_onboarding_time,True
customer_onboarding_time,time_to_value,correlated_with,customer_onboarding_time,True
customer_onboarding_time,churn_rate,correlated_with,customer_onboarding_time,True
marketing_roi,ltv_cac,parent_of,ltv_cac,True
ltv_cac,cac,parent_of,ltv_cac,True
ltv_cac,cac_payback,parent_of,ltv_cac,True
ltv_cac,payback_period,parent_of,ltv_cac,True
ltv_cac,payback_ratio,parent_of,ltv_cac,True
ltv_cac,cac_payback,correlated_with,ltv_cac,True
ltv_cac,magic_number,correlated_with,ltv_cac,True
ltv_cac,cac,correlated_with,ltv_cac,True
ltv_cac,churn_rate,correlated_with,ltv_cac,True
ltv_cac,customer_ltv,correlated_with,ltv_cac,True
ltv_cac,net_revenue_retention,correlated_with,ltv_cac,True
ltv_cac,payback_ratio,correlated_with,ltv_cac,True
ltv_cac,roas,correlated_with,ltv_cac,True
clv,ltv_cac,formula_input,ltv_cac,True
cac,marketing_cac,parent_of,marketing_cac,True
marketing_cac,stg_ad_spend,parent_of,marketing_cac,True
marketing_cac,net_new_customers,parent_of,marketing_cac,True
marketing_cac,cac,correlated_with,marketing_cac,True
marketing_cac,cost_per_mql,correlated_with,marketing_cac,True
marketing_cac,marketing_roi,correlated_with,marketing_cac,True
marketing_cac,sm_spend,correlated_with,marketing_cac,True
marketing_cac,stg_ad_spend,correlated_with,marketing_cac,True
time_to_value,onboarding_time,parent_of,onboarding_time,True
onboarding_time,time_to_value,correlated_with,onboarding_time,True
onboarding_time,activation_rate,correlated_with,onboarding_time,True
cycle_time,process_automation_rate,parent_of,process_automation_rate,True
process_automation_rate,cycle_time,correlated_with,process_automation_rate,True
process_automation_rate,throughput,correlated_with,process_automation_rate,True
return_rate,product_return_rate,parent_of,product_return_rate,True
product_return_rate,refund_rate,correlated_with,product_return_rate,True
product_return_rate,csat,correlated_with,product_return_rate,True
product_return_rate,stg_refunds_count,correlated_with,product_return_rate,True
clv,purchase_frequency,parent_of,purchase_frequency,True
cohort_ltv_12m,purchase_frequency,parent_of,purchase_frequency,True
purchase_frequency,stg_purchases_count,parent_of,purchase_frequency,True
purchase_frequency,repeat_purchase_rate,parent_of,purchase_frequency,True
purchase_frequency,aov,correlated_with,purchase_frequency,True
purchase_frequency,repeat_purchase_rate,correlated_with,purchase_frequency,True
purchase_frequency,stg_purchases_count,correlated_with,purchase_frequency,True
clv,refund_rate,parent_of,refund_rate,True
refund_rate,stg_refunds_count,parent_of,refund_rate,True
refund_rate,stg_purchases_count,parent_of,refund_rate,True
refund_rate,stg_refund_amount,parent_of,refund_rate,True
refund_rate,product_return_rate,correlated_with,refund_rate,True
refund_rate,csat,correlated_with,refund_rate,True
refund_rate,net_revenue,correlated_with,refund_rate,True
refund_rate,stg_refund_amount,correlated_with,refund_rate,True
refund_rate,stg_refunds_count,correlated_with,refund_rate,True
net_revenue_retention,renewal_rate,parent_of,renewal_rate,True
account_health_score,renewal_rate,parent_of,renewal_rate,True
renewal_rate,stg_subscription_row,parent_of,renewal_rate,True
renewal_rate,qbr_completion_rate,parent_of,renewal_rate,True
renewal_rate,nrr_monthly,correlated_with,renewal_rate,True
renewal_rate,churn_rate,correlated_with,renewal_rate,True
renewal_rate,at_risk_accounts,correlated_with,renewal_rate,True
renewal_rate,customer_churn_rate,correlated_with,renewal_rate,True
renewal_rate,customer_retention_rate,correlated_with,renewal_rate,True
renewal_rate,qbr_completion_rate,correlated_with,renewal_rate,True
purchase_frequency,repeat_purchase_rate,parent_of,repeat_purchase_rate,True
repeat_purchase_rate,stg_purchases_count,parent_of,repeat_purchase_rate,True
repeat_purchase_rate,stg_customer_count,parent_of,repeat_purchase_rate,True
repeat_purchase_rate,purchase_frequency,correlated_with,repeat_purchase_rate,True
repeat_purchase_rate,customer_retention_rate,correlated_with,repeat_purchase_rate,True
repeat_purchase_rate,stg_purchases_count,correlated_with,repeat_purchase_rate,True
graduation_rate,advanced_course_enrollment_rate,parent_of,advanced_course_enrollment_rate,True
advanced_course_enrollment_rate,stg_enrollment_row,parent_of,advanced_course_enrollment_rate,True
advanced_course_enrollment_rate,college_enrollment,correlated_with,advanced_course_enrollment_rate,True
advanced_course_enrollment_rate,student_proficiency,correlated_with,advanced_course_enrollment_rate,True
clv,cross_sell_rate,parent_of,cross_sell_rate,True
cross_sell_rate,stg_purchases_count,parent_of,cross_sell_rate,True
cross_sell_rate,stg_products_active,parent_of,cross_sell_rate,True
cross_sell_rate,upsell_rate,correlated_with,cross_sell_rate,True
cross_sell_rate,aov,correlated_with,cross_sell_rate,True
cross_sell_rate,stg_products_active,correlated_with,cross_sell_rate,True
four_year_grad_rate,dropout_rate,parent_of,dropout_rate,True
dropout_rate,chronic_absenteeism_rate,parent_of,dropout_rate,True
dropout_rate,suspension_rate,parent_of,dropout_rate,True
dropout_rate,four_year_grad_rate,correlated_with,dropout_rate,True
dropout_rate,chronic_absenteeism_rate,correlated_with,dropout_rate,True
dropout_rate,course_completion_rate,correlated_with,dropout_rate,True
dropout_rate,expulsion_rate,correlated_with,dropout_rate,True
district_proficiency_rate,ela_proficiency_rate,parent_of,ela_proficiency_rate,True
ela_proficiency_rate,grade3_reading,parent_of,ela_proficiency_rate,True
ela_proficiency_rate,sgp,parent_of,ela_proficiency_rate,True
ela_proficiency_rate,student_attendance_rate,parent_of,ela_proficiency_rate,True
ela_proficiency_rate,math_proficiency_rate,correlated_with,ela_proficiency_rate,True
ela_proficiency_rate,student_attendance_rate,correlated_with,ela_proficiency_rate,True
ela_proficiency_rate,avg_teacher_experience,correlated_with,ela_proficiency_rate,True
ela_proficiency_rate,course_completion_rate,correlated_with,ela_proficiency_rate,True
ela_proficiency_rate,ell_pct,correlated_with,ela_proficiency_rate,True
ela_proficiency_rate,grade3_reading,correlated_with,ela_proficiency_rate,True
ela_proficiency_rate,iep_pct,correlated_with,ela_proficiency_rate,True
ela_proficiency_rate,instructional_spend_ratio,correlated_with,ela_proficiency_rate,True
student_proficiency,ell_proficiency_growth,parent_of,ell_proficiency_growth,True
ell_proficiency_growth,stg_student_assessment_row,parent_of,ell_proficiency_growth,True
ell_proficiency_growth,student_proficiency,correlated_with,ell_proficiency_growth,True
ell_proficiency_growth,attendance_rate,correlated_with,ell_proficiency_growth,True
college_enrollment,fafsa_completion_rate,parent_of,fafsa_completion_rate,True
college_enrollment_rate,fafsa_completion_rate,parent_of,fafsa_completion_rate,True
fafsa_completion_rate,college_enrollment,correlated_with,fafsa_completion_rate,True
fafsa_completion_rate,graduation_rate,correlated_with,fafsa_completion_rate,True
ela_proficiency_rate,grade3_reading,parent_of,grade3_reading,True
grade3_reading,kinder_readiness,parent_of,grade3_reading,True
grade3_reading,ela_proficiency_rate,correlated_with,grade3_reading,True
grade3_reading,student_attendance_rate,correlated_with,grade3_reading,True
grade3_reading,kinder_readiness,correlated_with,grade3_reading,True
student_proficiency,iep_goal_mastery_rate,parent_of,iep_goal_mastery_rate,True
iep_goal_mastery_rate,student_proficiency,correlated_with,iep_goal_mastery_rate,True
iep_goal_mastery_rate,attendance_rate,correlated_with,iep_goal_mastery_rate,True
grade3_reading,kinder_readiness,parent_of,kinder_readiness,True
kinder_readiness,grade3_reading,correlated_with,kinder_readiness,True
kinder_readiness,student_attendance_rate,correlated_with,kinder_readiness,True
district_proficiency_rate,math_proficiency_rate,parent_of,math_proficiency_rate,True
math_proficiency_rate,sgp,parent_of,math_proficiency_rate,True
math_proficiency_rate,ela_proficiency_rate,correlated_with,math_proficiency_rate,True
math_proficiency_rate,student_attendance_rate,correlated_with,math_proficiency_rate,True
student_proficiency,school_climate_score,parent_of,school_climate_score,True
school_climate_score,extracurricular_rate,parent_of,school_climate_score,True
school_climate_score,family_engagement_rate,parent_of,school_climate_score,True
